,1057
myself,6
aught,6
Faith,,6
What's,6
passion,6
letters,6
love.,6
Guildenstern,6
in.,6
he,,6
it;,6
Majesty,6
round,6
her,,6
Hamlet?,6
gone,,6
either,6
(as,6
only,6
see.,6
1.,6
[Exeunt,6
Could,6
gives,6
life.,6
quick,6
Here's,6
poison,6
husband,6
laid,6
Guildenstern,,5
Players.,5
Get,5
bid,5
Welcome,,5
awhile,,5
Mark,5
warlike,5
buried,5
known,5
hot,5
state,,5
blood,,5
coming,5
soft!,5
Shall,5
air,,5
dare,5
Let's,5
'twere,5
late,5
writ,5
what's,5
told,5
is't,,5
wouldst,5
dread,5
toward,5
common,5
throw,5
note,5
Madam,,5
gentle,5
King's,5
away.,5
rank,5
Must,5
[To,5
report,5
drink,5
Horatio!,5
once.,5
all.,5
gentlemen,,5
point,5
knew,5
it?,5
Hold,5
Both,5
beard,5
Ophelia.,5
voice,5
head.,5
place,5
honour,5
shot,5
enough,5
friends,5
dull,5
man's,5
humbly,5
think,,5
fashion,5
speech,,5
hour,5
off.,5
phrase,5
Their,5
Bring,5
hell,,5
speak.,5
let's,5
hear.,5
shalt,5
Thy,5
fat,5
went,5
sudden,5
vile,5
Remember,5
ho,,5
then?,5
grave,5
offence,5
too.,5
help,5
shall,,5
means,,5
son,,5
him;,5
mark,5
in's,5
lack,5
move,5
brought,5
whom,5
welcome,5
ill,5
sun,5
herself,5
four,5
arras,5
bad,5
[aside,5
themselves,5
One,5
'The,5
mortal,5
Follow,5
Dost,5
drown,5
devil,5
joy,5
purpose,5
hope,5
himself.,5
turn,5
breath,5
too,,5
woe,5
neither,5
Danish,5
eat,5
shame,5
beg,5
sir?,5
drink,,5
bloody,5
'A,5
(Sings),5
gentleman,5
water,5
Alexander,5
Marcellus,,4
present,4
friend,4
Voltemand,,4
Osric,,4
Two,4
ACT,4
yourself.,4
struck,4
sick,4
heart.,4
quiet,4
Marcellus.,4
ground.,4
Dane.,4
nothing.,4
twice,4
star,4
course,4
break,4
again!,4
dead.,4
like.,4
majesty,4
charge,4
speak!,4
away!,4
gone,4
Before,4
Without,4
strange,4
land,,4
cannon,4
Doth,4
Fortinbras,4
who,,4
Well,4
lands,4
Against,4
other,,4
unto,4
motive,4
fire,,4
Unto,4
voice,,4
treasure,4
which,,4
spirits,4
speak,,4
guilty,4
trumpet,4
Whether,4
sea,4
truth,4
season,4
stir,4
gracious,4
impart,4
for,,4
dumb,4
morning,4
[Enter,4
sorrow,4
sister,,4
queen,,4
thinking,4
dream,4
brother.,4
uncle,4
purpose,,4
Out,4
commend,4
native,4
mouth,,4
hard,4
eye,4
madam,,4
seems,4
thee?,4
is.,4
lost,4
bound,4
fault,4
dead,,4
obey,4
health,4
flesh,4
God!,4
on't!,4
Heaven,4
grown,4
discourse,4
Within,4
tears,4
glad,4
teach,4
deep,4
mock,4
did,,4
kept,4
time,,4
honour'd,4
indeed,,4
look'd,4
hell,4
silence,4
tongue.,4
visit,4
still,,4
III.,4
house,4
service,4
withal.,4
beauty,4
effect,4
blessing,4
leave.,4
for.,4
entertainment,4
in,,4
habit,4
command,4
IV.,4
air,4
choose,4
infinite,4
mean,4
thou,,4
puts,4
cries,4
Still,4
desperate,4
direct,4
Another,4
lead,4
lend,4
days,4
tale,4
part,,4
blood.,4
natural,4
court,4
cursed,4
instant,4
body.,4
crown,,4
act,,4
